名稱,建築團隊,年份,城市,國家,區域,柯本氣候,基地面積m2,基地面積為估算,基地分級,建築面積m2,建築面積出處,總樓地板m2,樓地板出處,容積率%,建物面積說明,典型單元,單元面積m2,單元面積為估算,單元分級,面積基準,戶數,戶型配比,戶型配比說明,對城市開放設施,僅住戶設施,設施說明,居住社群,營運屬性,特徵,說明,待確認事項,基地面積出處,單元面積出處,戶型配比出處,公設出處,地籍查詢,圖面資料狀態,圖面來源,來源連結
Nexus World Housing,OMA（Rem Koolhaas）,1991,Fukuoka,日本,東亞,Cfa,4000,是,中,,,,,,,3 室三層透天（約 2 房）,105,否,大,來源公布（Floor Plan Manual Housing），含三層樓地板,24 戶（2 × 12），3 層,3 室:未查到戶/105m2；4 室:未查到戶/156.5m2；5 室:未查到戶/164m2；6 室:未查到戶/223m2,共 24 戶（2 棟 × 12），各型戶數未查到；3、5 室各有兩種面積，表中取平均。,,,以各戶私人垂直中庭為主，未查到共用設施。,一般家庭,私營（福岡地所）,私人垂直中庭、波浪屋頂、合院式低層高密,戶型 3 室 102.5／108.5 m²、4 室 156.5 m²、5 室 150.5／179 m²、6 室 223 m²；本表以最小戶型示意。,,估算（見方法說明）,Building Types Online (Birkhäuser),Building Types Online (Birkhäuser),Building Types Online (Birkhäuser),,已確認含圖面,[確認] Building Types Online（Birkhäuser，含平剖面） https://bdt.degruyter.com/?p=19535,https://bdt.degruyter.com/?p=19535
Saishunkan Seiyaku Women's Dormitory,Kazuyo Sejima,1991,Kumamoto,日本,東亞,Cfa,1223,否,小,851,熊本縣 Artpolis 資料,1254,熊本縣 Artpolis 資料,103,,4 人寢室（最小尺寸，開向露台）,20,是,小,估算：依戶數、樓地板與平面比例推估,80 人,,容納 80 人，寢室為 4 人房（約 20 間，依人數推算），廚房為中央 3 個獨立量體。,,兩棟寢室間的挑高共享起居空間、中央 3 個廚房量體、浴室（位於 5 個結構核內）、二樓入口、接待、客房與交誼區、管理辦公室、露台,,企業宿舍（女性新進員工）、青年／單身,私營（企業）,共享大廳、鋼構＋RC,"兩條 45 × 4.5 m 寢室棟夾出 9 m 寬共享起居大空間；總樓地板 1,254 m²。",,熊本縣 Artpolis 資料（PDF）,估算；房型依 Arquitectura Viva,熊本縣 Artpolis 資料（PDF）,Arquitectura Viva；熊本縣資料,,已確認含圖面,[確認] Arquitectura Viva https://arquitecturaviva.com/works/residencia-de-mujeres-saishunkan-seiyaku-kumamoto-1,https://www.pref.kumamoto.jp/uploaded/attachment/42858.pdf
El Raval Housing（Carrer del Carme）,Josep Antoni Llinàs,1996,Barcelona,西班牙,歐洲,Csa,1000,是,小,,,4000,archiweb,400,,2 房,55,是,中,估算：依戶數、樓地板與平面比例推估,"總樓地板約 4,000 m²",,戶數未查到，來源僅說明以小型 2 房為主。,兩層高臨街商業基座,基座屋頂（來源指出未被使用）,,社會住宅／低收入,公營（舊城更新）,歷史街區填充、量體切分引光,將法規容積拆成三個塊體，讓狹窄街道與住戶取得更多光線。,資料顯示 1994–95 完工、1995 獲巴塞隆納市獎，與清單的 1996 略有出入。,估算（見方法說明）,估算,archiweb,archiweb,,推定含圖面,[推定] archiweb https://archiweb.cz/en/b/bytovy-dum-calle-del-carme,https://archiweb.cz/en/b/bytovy-dum-calle-del-carme
WoZoCo Apartments,MVRDV,1997,Amsterdam,荷蘭,歐洲,Cfb,4000,是,中,,,7500,MVRDV 專案說明（architravel 轉載）,188,,1 房,60,是,中,估算：依戶數、樓地板與平面比例推估,100 戶（其中 13 戶懸挑）,板樓內住戶:87戶；北立面懸挑住戶:13戶,依位置分；另有四種室內戶型，各型戶數未查到。,保留為開放綠地的地面層,一樓大廳與公共空間,,高齡者（55+）,非營利（住宅協會 Het Oosten）,大懸挑、色彩立面,日照規範只容 87 戶於板樓內，其餘 13 戶懸挑於北立面以保留地面綠地。,,估算（見方法說明）,估算,ArchDaily · AD Classics,ArchDaily · AD Classics,"荷蘭 Kadaster／PDOK：Reimerswaalstraat 1, Amsterdam",推定含圖面,[推定] ArchDaily · AD Classics https://www.archdaily.com/115776/ad-classics-wozoco-mvrdv | [推定] NC State 住宅案例研究（PDF） https://outreach.design.ncsu.edu/ah+sc/wp-content/uploads/2013/06/6.MVRDV_WOZOCO-Apartments.pdf,https://www.archdaily.com/115776/ad-classics-wozoco-mvrdv
Kitagata Apartment Block（Sejima Wing）,Kazuyo Sejima,2000,Gifu,日本,東亞,Cfa,93943,否,大,,,,,,妹島棟單棟面積未查到；妹島本人演講稱南區以每戶約 70 m² 重建 430 戶。,2DK＋和室（33 種戶型之一）,70,否,中,估算：依戶數、樓地板與平面比例推估,107 戶，10 層,複層（含內梯）:36戶；其他（含挑高戶）:71戶,妹島棟共 33 種戶型；約三分之一為複層、約半數含挑高空間，表中戶數依比例推算。,,各棟圍合的集體中庭、架空層停車,,社會住宅／低收入,公營（岐阜縣營住宅）,單房進深板樓、穿透式陽台、複層／跳層剖面,磯崎新總體規劃、四位女性建築師分區設計；戶型由獨立房間自由組合。,,"岐阜縣住宅課（整個北方住宅團地 93,943.3 m²，妹島棟未單獨劃分）",妹島和世演講紀錄（南區每戶約 70 m²）,Arquitectura Viva,Arquitectura Viva,,已確認含圖面,[推定] Arquitectura Viva https://arquitecturaviva.com/works/edificio-de-apartamentos-gifu-kitagata-gifu-3 | [推定] NC State 住宅案例研究（PDF） https://outreach.design.ncsu.edu/ah+sc/wp-content/uploads/2013/06/9.Saana_Gifu.pdf | [確認] 妹島和世演講紀錄（33 種戶型中 9 種平面） https://www.tozai-as.or.jp/mytech/01/01_sejima02.html,https://arquitecturaviva.com/works/edificio-de-apartamentos-gifu-kitagata-gifu-3 | https://www.pref.gifu.lg.jp/page/3346.html | https://www.tozai-as.or.jp/mytech/01/01_sejima02.html
Hoge Heren,Wiel Arets Architects,2001,Rotterdam,荷蘭,歐洲,Cfb,5500,是,中,,,38840,Wiel Arets Architects,706,,2–3 房轉角戶,100,是,大,估算：依戶數、樓地板與平面比例推估,約 285–290 戶，雙塔 34 層,,約 285–290 戶，標準層每層 5 戶，戶型配比未查到。,底層 grand café,泳池、三溫暖、健身中心、景觀大廳、屋頂露台,,高收入,私營（投資型租賃）,黑色預鑄混凝土、高層住宅、共享設施（泳池）,"外牆為橡膠模製出卵石紋理的黑色混凝土板；樓地板約 38,840 m²。",,估算（見方法說明）,估算,Wiel Arets Architects,Wiel Arets Architects,"荷蘭 Kadaster／PDOK：Gedempte Zalmhaven, Rotterdam",已確認含圖面,[確認] Building Types Online（Birkhäuser，含平剖面） https://bdt.degruyter.com/?p=19630,https://www.wielaretsarchitects.com/en/projects/hoge_heren/ | https://www.architectureguide.nl/project/item/prj_id/451/alfa/H
Yerba Buena Lofts,Stanley Saitowitz｜Natoma Architects,2001,San Francisco,美國,北美,Csb,4500,是,中,,,,,,,1 房挑高 loft,100,是,大,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,200 戶，約 74–139 m²,loft（8 種戶型，74–139 m²）:179戶；附大露台戶:21戶,共 200 戶，其中 21 戶附露台；其餘依 8 種戶型分布，各型戶數未查到。,底層工作空間,24 小時門廳、室內停車,,青年／單身、一般家庭,私營,清水混凝土、U 型玻璃（channel glass）、挑高 loft,混凝土格架內交替嵌入兩層高玻璃凸窗與陽台；以飛模工法加速施工。,,估算（見方法說明）,估算,Architecture News Plus,Architecture News Plus,,推定含圖面,[推定] Praxis 期刊第 3 期（PDF） https://www.praxisjournal.net/praxite/PRAXIS_ARCHIVE/_issue%203/Disk%201/PDF/Saitowitz.pdf,https://architecturenewsplus.com/projects/852
Quinta Monroy,Elemental（Alejandro Aravena）,2004,Iquique,智利,南美,BWh,5025,否,中,,,3500,ArchDaily（Constructed Area）,70,"另一來源記 3,620 m²（93 戶）。",半棟住宅（初始 1 房，可擴至 3 房）,36,否,小,初始建成面積，不含住戶日後自建擴充,93 戶,初始獨棟（可擴至約 70 m²）:未查到戶/36m2；初始複層（可擴至約 72 m²）:未查到戶/25m2,共 93 戶，兩種戶型的各別戶數未查到。,,四個共用中庭（每個約 20 戶）,,非正式聚落居民、社會住宅／低收入,公營補助（Chile Barrio）,漸進式住宅／自建、混凝土＋水泥磚,初始 36 m²，住戶自行擴建至約 70–72 m²；原地安置，不遷往郊區。,,ArchDaily,ArchDaily,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/10775/quinta-monroy-elemental | [推定] Arquitectura Viva https://arquitecturaviva.com/works/viviendas-quinta-monroy-1,https://www.archdaily.com/10775/quinta-monroy-elemental | https://arquitecturaviva.com/works/viviendas-quinta-monroy-1
Schots 1 & 2（CiBoGa Terrain）,S333 Architecture + Urbanism,2004,Groningen,荷蘭,歐洲,Cfb,13000,否,大,,,,,,,2 房公寓,80,是,中,估算：依戶數、樓地板與平面比例推估,"145 戶＋4,500 m² 商業",Schots 1 玻璃立面公寓:101戶；Schots 2 住宅（推算）:44戶,Schots 2 戶數由總數 145 減去 Schots 1 推算。,"兩間超市、商店與咖啡廳（4,500 m² 商業）、Schots 2 中庭 Monnikhof（全天對外開放）、兒童遊戲場、地下停車（300 位）",Schots 1 中庭 De Beren（僅住戶）、屋頂社區花園、冬季花園,,一般家庭、社會住宅／低收入,公私合作（30% 社會租賃）,抬升中庭／地下停車、玻璃立面＋木構立面、永續更新示範,舊煤氣廠污染地，深挖後改為地下停車；Schots 1 玻璃包覆、Schots 2 木構包覆。,資料記載 2003 年完工。,CMA+U（原 S333 團隊）,估算,CMA+U（原 S333 團隊）,CMA+U（原 S333 團隊）,"荷蘭 Kadaster／PDOK：Bloemsingel／Korreweg, Groningen",推定含圖面,[推定] TU Delft DASH 期刊 https://journals.open.tudelft.nl/dash/article/view/4532 | [推定] Building Types Online https://bdt.degruyter.com/?p=18846,https://cma-u.com/?p=822 | https://bdt.degruyter.com/?p=18846
VM Houses,PLOT（BIG + JDS）,2005,Copenhagen,丹麥,歐洲,Cfb,12000,是,大,,,25000,BIG（german-architects 轉載）,208,,2 房,85,是,中,估算：依戶數、樓地板與平面比例推估,230 戶（M 棟 95 戶、V 棟 114 戶）,M 棟:95戶；V 棟:114戶,兩棟合計 209 戶，與總數 230 戶的差距來源未說明；戶型約有 80 種變化，配比未查到。,V 棟架空 5 m，中庭向南側公園開放,兩棟間的共用中庭,,一般家庭、青年／單身,私營,複層／跳層剖面、三角陽台、短走廊雙向採光,"以 Unité 為原型改寫：走廊短且兩端採光，每戶北側皆有挑高空間。總樓地板約 25,000 m²。",,估算（見方法說明）,估算,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/970/vm-houses-plot-big-jds,https://www.archdaily.com/970/vm-houses-plot-big-jds
Tietgen Dormitory（Tietgenkollegiet）,Lundgaard & Tranberg,2006,Copenhagen,丹麥,歐洲,Cfb,11000,是,大,,,26515,ArchDaily,241,,學生單人房（含私人衛浴）,29,否,小,房間面積含私人衛浴，不含 12 人共用的廚房與交誼室,360 間，約 400 名學生,單人房（26／29／33 m² 三種）:330戶/29m2；雙人房（2 房）:30戶/45m2,單人房三種尺寸的各別間數未查到。,,咖啡廳、禮堂、自習室與電腦室、工作坊、音樂室與會議室、洗衣間、單車停車、每 12 人共用廚房、交誼室與露台、中央庭院,地面層設施供全棟住戶使用，未查到對外開放的說明。,學生,非營利（Nordea 基金會捐建）,圓形合院（土樓）、銅合金＋橡木立面、共享廚房／交誼,"每 12 間組成一個生活群，共用廚房與交誼室朝內院懸出。樓地板約 26,515 m²。",,估算（見方法說明）,Tietgenkollegiet 官網,Tietgenkollegiet 官網,Wikipedia；官網,,已確認含圖面,[確認] Tietgenkollegiet 官網（各房型平面） https://tietgenkollegiet.dk/en/the-dorm/ | [推定] ArchDaily https://www.archdaily.com/474237/tietgen-dormitory-lundgaard-and-tranberg-architects,https://tietgenkollegiet.dk/en/the-dorm/ | https://www.archdaily.com/474237/tietgen-dormitory-lundgaard-and-tranberg-architects
Carabanchel Housing,Dosmasuno Arquitectos,2007,Madrid,西班牙,歐洲,Csa,5000,是,中,,,,,,,1 房,50,是,中,估算：依戶數、樓地板與平面比例推估,102 戶（1 房 52／2 房 35／3 房 15）,1 房:52戶；2 房:35戶；3 房:15戶,各戶型面積未查到。,,L 形量體圍合的庭院,庭院使用對象為推定。,社會住宅／低收入,公營（社會住宅）,預鑄／模組化、鋁模一次澆置、懸挑附加房、金屬網遮陽,以相同核心單元重複 102 次，再以輕鋼構懸挑房間擴成 2、3 房。,,估算（見方法說明）,估算,Dezeen,Dezeen,,推定含圖面,[推定] Dezeen https://www.dezeen.com/2008/10/09/102-dwellings-by-dosmasuno/,https://www.dezeen.com/2008/10/09/102-dwellings-by-dosmasuno/
Space Block Hanoi Model,Kazuhiro Kojima（C+A）,2003,Hanoi,越南,東南亞,Cwa,272,否,小,246.6,Japan Architect,466.71,Japan Architect,172,,立體組合住宅單元,74,否,中,來源公布（Japan Architect）,6 戶，約 30 人,立體組合住宅:6戶,6 戶，面積 74–121 m²。,,立體穿插的庭院與露台,,實驗／研究住宅,學術研究（大學校地）,50% 孔隙率、自然通風／CFD 模擬、RC 空間塊體,以河內 36 街老城長條街屋為原型、目標千人／公頃且不依賴空調。單元面積 74–121 m²。,資料記載 2003 年完工，與清單的 2007 不同。,C+A 事務所,C+A 事務所,C+A 事務所,C+A 事務所,,已確認含圖面,[確認] Building Types Online（Birkhäuser，含平剖面） https://bdt.degruyter.com/?p=19661,https://c-and-a.co.jp/en/projects/space-blocks-hanoi-model/ | https://backnumber.japan-architect.co.jp/english/2maga/ja/ja0049/work/02-01.html
Rainbow Apartments,Michael Maltzan Architecture,2006,Los Angeles,美國,北美,Csa,2500,是,中,,,,,,,Studio,30,是,小,估算：依戶數、樓地板與平面比例推估,88 戶，6 層,,88 戶（另有來源寫 89 戶），皆為小型支持性住宅單元。,,抬升的 U 形中庭、共享廚房、菜園、洗衣間、休閒室,,無家者／支持性住宅,非營利（Skid Row Housing Trust）,U 形抬升中庭、共享廚房／交誼,Skid Row 核心區首批新建永久支持性住宅之一。,資料記載 2006 年完工，與清單的 2007 略有出入。,估算（見方法說明）,估算,Michael Maltzan Architecture,Michael Maltzan Architecture,LA ZIMAS：以案名查得地址後輸入,推定含圖面,[推定] Harvard JCHS Maltzan 講座簡報（PDF） https://www.jchs.harvard.edu/sites/default/files/media-files/2020-10/Michael_Maltzan_Dunlop_Lecture_2020_Presentation.pdf,https://www.mmaltzan.com/?p=579
De Eekenhof Housing Complex,Claus en Kaan Architecten,2008,Enschede,荷蘭,歐洲,Cfb,4200,否,中,,,10900,ArchDaily,260,"競圖資料另記總面積 13,504 m²（其中住宅 5,467 m²）。",2–3 房公寓,76,是,中,"由住宅總面積 5,467 m² ÷ 72 戶推算的平均值",72 戶＋照護住宅,一般住宅:72戶/76m2,另有約 901 m² 附照護服務的住宅，戶數未查到。,健康中心（Gezondheidscentrum）,,,一般家庭、高齡／照護,非營利（住宅公司 Domijn）,磚造雕塑性量體、災後重建街區,位於 2000 年煙火爆炸災區 Roombeek 的重建核心。,案名實為 De Eekenhof，位於 Enschede，並非 Hoogvliet。,ArchDaily,估算,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/36446/de-eekenhof-claus-en-kaan-architekten,https://www.archdaily.com/36446/de-eekenhof-claus-en-kaan-architekten
Madrid Social Housing（Carabanchel 141）,Morphosis,2008,Madrid,西班牙,歐洲,Csa,8000,是,中,,,21999,archiweb,275,"Arquitectura Viva 記 10,389 m²，可能僅計住宅部分。",2 房,70,是,中,估算：依戶數、樓地板與平面比例推估,141 戶（2–4 房）,,141 戶，2–4 房，配比未查到。,,"中央景觀步道 paseo（取代門廳）、中型庭院、約 3,000 m² 中央庭園",Arquitectura Viva 稱中央庭園為公共空間，但實際是否對外開放未查到。,社會住宅／低收入,公營（EMVS）,地景格柵／立體綠化、村落式低層＋板樓、遮陽,低層「村落」兩側配長條板樓，植栽攀爬立面以降低夏季溫度。,資料多記載 2006–07 完工。,估算（見方法說明）,估算,Arquitectura Viva,Arquitectura Viva,,推定含圖面,[推定] Arquitectura Viva https://arquitecturaviva.com/works/viviendas-en-carabanchel-madrid-,https://arquitecturaviva.com/works/viviendas-en-carabanchel-madrid-
